W,L,VG,VD,ID,gds
5,5,0.0,4.65,5.148942855681143e-09,-7.112477525758109e-11
5,5,0.0,4.7,5.145248582570919e-09,-7.664688798915989e-11
5,5,0.0,4.75,5.141277995257062e-09,-8.21792728546451e-11
5,5,0.0,4.8,5.137030297045216e-09,-8.773312695423193e-11
5,5,0.0,4.85,5.132504150294487e-09,-9.331889213666845e-11
5,5,0.0,4.9,5.127697714008914e-09,-9.894626200009141e-11
5,5,0.0,4.95,5.122608681054352e-09,-1.0462418989090988e-10
5,5,0.0,5.0,5.117234314951409e-09,-1.1036089783352157e-10
5,5,1.0,0.0,1.2195042924408388e-09,7.605682805734757e-08
5,5,1.0,0.05,1.6622530026395775e-08,6.656822818183452e-07
5,5,1.0,0.1,6.911964125639077e-08,1.2905210921050232e-06
5,5,1.0,0.15,1.2897348044344284e-07,1.0051970205770189e-06
5,5,1.0,0.2,1.6780998314038429e-07,5.76273620498134e-07
5,5,1.0,0.25,1.9013623968972847e-07,3.479982347094058e-07
5,5,1.0,0.3,2.0487996440705743e-07,2.5683855939997227e-07
5,5,1.0,0.35,2.168043519372994e-07,2.2617541504621094e-07
5,5,1.0,0.4,2.2787810964847132e-07,2.1904445215130413e-07
5,5,1.0,0.45,2.3884971946442275e-07,2.2064652360629376e-07
5,5,1.0,0.5,2.4999325488664765e-07,2.2538283952461541e-07
5,5,1.0,0.55,2.61404830127016e-07,2.311674723616749e-07
5,5,1.0,0.6,2.731142220190755e-07,2.3721953492145668e-07
5,5,1.0,0.65,2.851261483937225e-07,2.432387235049633e-07
5,5,1.0,0.7,2.9743545709045045e-07,2.491016231191615e-07
5,5,1.0,0.75,3.100327307675951e-07,2.547504740516069e-07
5,5,1.0,0.8,3.22906386963532e-07,2.6015258540626666e-07
5,5,1.0,0.85,3.3604350175742494e-07,2.652855998249784e-07
5,5,1.0,0.9,3.494301715692592e-07,2.7013219278793377e-07
5,5,1.0,0.95,3.630517098905184e-07,2.746781995083299e-07
5,5,1.0,1.0,3.768927863676913e-07,2.7891197352581943e-07
5,5,1.0,1.05,3.9093754646416455e-07,2.828241751467303e-07
5,5,1.0,1.1,4.051697246790224e-07,2.8640769764485645e-07
5,5,1.0,1.15,4.1957275512749125e-07,2.896576256349357e-07
5,5,1.0,1.2,4.341298799980368e-07,2.925711884005297e-07
5,5,1.0,1.25,4.488242552730255e-07,2.9514769615321116e-07
5,5,1.0,1.3,4.636390527706653e-07,2.9738845658472236e-07
