VG,VD,W,L,ID,abs_ID,log_ID,VG_scaled,VD_scaled,W_scaled,L_scaled
-0.4,0.1,10.0,10.0,5.1316e-12,5.1316e-12,-11.289747203536995,0.45999999999999996,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.5,0.1,10.0,10.0,-1.8246e-12,1.8246e-12,-11.738832329472224,0.45,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.6,0.1,10.0,10.0,2.323e-12,2.323e-12,-11.633950790199764,0.44,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.7,0.1,10.0,10.0,4.2028e-12,4.2028e-12,-11.37646127641451,0.43,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.8,0.1,10.0,10.0,-5.0704e-12,5.0704e-12,-11.294957778153774,0.42,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.9,0.1,10.0,10.0,2.3632e-12,2.3632e-12,-11.626499522032125,0.41,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.0,0.1,10.0,10.0,-1.9928e-12,1.9928e-12,-11.70053628547155,0.4,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.1,0.1,10.0,10.0,-4.084e-12,4.084e-12,-11.388914266585127,0.39,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.2,0.1,10.0,10.0,5.0742e-12,5.0742e-12,-11.294632419025092,0.38,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.3,0.1,10.0,10.0,-2.5924e-12,2.5924e-12,-11.586297987218886,0.37,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.4,0.1,10.0,10.0,1.5142e-12,1.5142e-12,-11.819816758151772,0.36,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.5,0.1,10.0,10.0,4.011e-12,4.011e-12,-11.396747338018352,0.35,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.6,0.1,10.0,10.0,-4.9324e-12,4.9324e-12,-11.306941710918839,0.33999999999999997,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.7,0.1,10.0,10.0,3.0332e-12,3.0332e-12,-11.518098952685476,0.32999999999999996,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.8,0.1,10.0,10.0,-1.1564e-12,1.1564e-12,-11.936891917001379,0.31999999999999995,0.020000000000000004,0.03225806451612903,0.3333333333333333
-1.9,0.1,10.0,10.0,-3.8388e-12,3.8388e-12,-11.415804513868268,0.31,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.0,0.1,10.0,10.0,4.9122e-12,4.9122e-12,-11.308723959226798,0.3,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.1,0.1,10.0,10.0,1.635e-12,1.635e-12,-11.786482243003695,0.29,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.2,0.1,10.0,10.0,-2.3618e-12,2.3618e-12,-11.626756881732637,0.27999999999999997,0.020000000000000004,0.03225806451612903,0.3333333333333333
